region,regionId,population
Ненецкий автономный округ,83,"44111,00"
Чукотский автономный округ,87,"50288,00"
Магаданская область,49,"140149,00"
Еврейская автономная область,79,"158305,00"
Республика Алтай,4,"220181,00"
Республика Калмыкия,8,"271135,00"
Камчатский край,41,"313016,00"
Республика Тыва,17,"327383,00"
Севастополь,92,"449138,00"
Республика Адыгея,1,"463088,00"
Карачаево-Черкесская Республика,9,"465528,00"
Сахалинская область,65,"488257,00"
Республика Ингушетия,6,"507061,00"
Республика Хакасия,19,"534262,00"
Ямало-Ненецкий автономный округ,89,"544444,00"
Новгородская область,53,"596508,00"
Республика Карелия,10,"614064,00"
Псковская область,60,"626115,00"
Костромская область,44,"633385,00"
Республика Марий Эл,12,"679417,00"
Республика Северная Осетия — Алания,15,"696837,00"
Орловская область,57,"733498,00"
Мурманская область,51,"741404,00"
Амурская область,28,"790044,00"
Республика Мордовия,13,"790197,00"
Республика Коми,11,"820473,00"
Курганская область,45,"827166,00"
Кабардино-Балкарская Республика,7,"868350,00"
Смоленская область,67,"934889,00"
Республика Саха (Якутия),14,"971996,00"
Республика Бурятия,3,"985937,00"
Ивановская область,37,"997135,00"
Калужская область,40,"1002575,00"
Астраханская область,30,"1005782,00"
Тамбовская область,68,"1006748,00"
Калининградская область,39,"1012512,00"
Забайкальский край,75,"1059700,00"
Томская область,70,"1079271,00"
Архангельская область,29,"1092424,00"
Курская область,46,"1104008,00"
Рязанская область,62,"1108847,00"
Липецкая область,48,"1139371,00"
Вологодская область,35,"1160445,00"
Брянская область,32,"1192491,00"
Республика Чувашия,21,"1217818,00"
Ульяновская область,73,"1229824,00"
Ярославская область,76,"1253389,00"
Тверская область,69,"1260379,00"
Кировская область,43,"1262402,00"
Пензенская область,58,"1305563,00"
Хабаровский край,27,"1315643,00"
Владимирская область,33,"1358416,00"
Тульская область,71,"1466127,00"
Чеченская Республика,20,"1478726,00"
Удмуртская Республика,18,"1500955,00"
Тюменская область,72,"1537416,00"
Белгородская область,31,"1549151,00"
Ханты-Мансийский автономный округ,86,"1674676,00"
Ленинградская область,47,"1875872,00"
Приморский край,25,"1895868,00"
Республика Крым,91,"1912622,00"
Омская область,55,"1926665,00"
Оренбургская область,56,"1956835,00"
Алтайский край,22,"2317153,00"
Воронежская область,36,"2324205,00"
Иркутская область,38,"2391193,00"
Саратовская область,64,"2421895,00"
Волгоградская область,34,"2491036,00"
Пермский край,59,"2599260,00"
Кемеровская область,42,"2657854,00"
Новосибирская область,54,"2798170,00"
Ставропольский край,26,"2803573,00"
Красноярский край,24,"2866255,00"
Республика Дагестан,5,"3110858,00"
Самарская область,63,"3179532,00"
Нижегородская область,52,"3202946,00"
Челябинская область,74,"3466369,00"
Республика Татарстан,16,"3902888,00"
Республика Башкортостан,2,"4038151,00"
Ростовская область,61,"4197821,00"
Свердловская область,66,"4310681,00"
Санкт-Петербург,78,"5398064,00"
Краснодарский край,23,"5675462,00"
Московская область,50,"7690863,00"
Москва,77,"12678079,00"
Российская Федеpация,100,"146748590,00"
