regionId,district,districtAbbr,regNameAbbr,regionName,column,row
1,Южный федеральный округ,ЮФО,Адыг,Республика Адыгея,3,8
10,Северо-Западный федеральный округ,СЗФО,Кар,Республика Карелия,3,1
11,Северо-Западный федеральный округ,СЗФО,Коми,Республика Коми,9,2
12,Приволжский федеральный округ,ПФО,Мари,Республика Марий Эл,7,3
13,Приволжский федеральный округ,ПФО,Мор,Республика Мордовия,6,5
14,Дальневосточный федеральный округ,ДФО,Саха,Республика Саха (Якутия),15,2
15,Северо-Кавказский федеральный округ,СКФО,Осeт,Республика Северная Осетия — Алания,5,10
16,Приволжский федеральный округ,ПФО,Тат,Республика Татарстан,8,4
17,Сибирский федеральный округ,СФО,Тыва,Республика Тыва,13,5
18,Приволжский федеральный округ,ПФО,Удм,Удмуртская Республика,9,4
19,Сибирский федеральный округ,СФО,Хак,Республика Хакасия,13,4
2,Приволжский федеральный округ,ПФО,Бшк,Республика Башкортостан,9,5
20,Северо-Кавказский федеральный округ,СКФО,Чеч,Чеченская Республика,6,9
21,Приволжский федеральный округ,ПФО,Чув,Республика Чувашия,7,4
22,Сибирский федеральный округ,СФО,Ал. к.,Алтайский край,12,5
23,Южный федеральный округ,ЮФО,Крдр,Краснодарский край,4,8
24,Сибирский федеральный округ,СФО,Крас,Красноярский край,13,2
25,Дальневосточный федеральный округ,ДФО,При,Приморский край,16,5
26,Северо-Кавказский федеральный округ,СКФО,Став,Ставропольский край,5,9
27,Дальневосточный федеральный округ,ДФО,Хаб,Хабаровский край,16,3
28,Дальневосточный федеральный округ,ДФО,Амур,Амурская область,15,3
29,Северо-Западный федеральный округ,СЗФО,Арх,Архангельская область,8,2
3,Сибирский федеральный округ,СФО,Бур,Республика Бурятия,14,4
30,Южный федеральный округ,ЮФО,Аст,Астраханская область,7,8
31,Центральный федеральный округ,ЦФО,Бел,Белгородская область,4,7
32,Центральный федеральный округ,ЦФО,Бря,Брянская область,2,5
33,Центральный федеральный округ,ЦФО,Вла,Владимирская область,5,4
34,Южный федеральный округ,ЮФО,Волг,Волгоградская область,6,7
35,Северо-Западный федеральный округ,СЗФО,Воло,Вологодская область,4,2
36,Центральный федеральный округ,ЦФО,Вор,Воронежская область,5,7
37,Центральный федеральный округ,ЦФО,Ива,Ивановская область,5,3
38,Сибирский федеральный округ,СФО,Ирк,Иркутская область,14,3
39,Северо-Западный федеральный округ,СЗФО,Кали,Калининградская область,0,3
4,Сибирский федеральный округ,СФО,Алт,Республика Алтай,12,6
40,Центральный федеральный округ,ЦФО,Калу,Калужская область,3,4
41,Дальневосточный федеральный округ,ДФО,Кам,Камчатский край,17,1
42,Сибирский федеральный округ,СФО,Кем,Кемеровская область,13,3
43,Приволжский федеральный округ,ПФО,Кир,Кировская область,8,3
44,Центральный федеральный округ,ЦФО,Кос,Костромская область,6,3
45,Уральский федеральный округ,УФО,Кург,Курганская область,11,4
46,Центральный федеральный округ,ЦФО,Курск,Курская область,3,6
47,Северо-Западный федеральный округ,СЗФО,Лен,Ленинградская область,2,2
48,Центральный федеральный округ,ЦФО,Лип,Липецкая область,4,6
49,Дальневосточный федеральный округ,ДФО,Маг,Магаданская область,16,2
5,Северо-Кавказский федеральный округ,СКФО,Даг,Республика Дагестан,7,9
50,Центральный федеральный округ,ЦФО,Мос,Московская область,4,4
51,Северо-Западный федеральный округ,СЗФО,Мур,Мурманская область,4,0
52,Приволжский федеральный округ,ПФО,Ниж,Нижегородская область,6,4
53,Северо-Западный федеральный округ,СЗФО,Новг,Новгородская область,3,2
54,Сибирский федеральный округ,СФО,Ново,Новосибирская область,12,4
55,Сибирский федеральный округ,СФО,Омск,Омская область,11,5
56,Приволжский федеральный округ,ПФО,Орен,Оренбургская область,8,6
57,Центральный федеральный округ,ЦФО,Орёл,Орловская область,3,5
58,Приволжский федеральный округ,ПФО,Пен,Пензенская область,6,6
59,Приволжский федеральный округ,ПФО,Пер,Пермский край,9,3
6,Северо-Кавказский федеральный округ,СКФО,Инг,Республика Ингушетия,6,10
60,Северо-Западный федеральный округ,СЗФО,Пск,Псковская область,2,3
61,Южный федеральный округ,ЮФО,Рос,Ростовская область,5,8
62,Центральный федеральный округ,ЦФО,Ряз,Рязанская область,5,5
63,Приволжский федеральный округ,ПФО,Сам,Самарская область,8,5
64,Приволжский федеральный округ,ПФО,Сар,Саратовская область,7,6
65,Дальневосточный федеральный округ,ДФО,Схлн,Сахалинская область,18,3
66,Уральский федеральный округ,УФО,Свер,Свердловская область,10,4
67,Центральный федеральный округ,ЦФО,Смол,Смоленская область,2,4
68,Центральный федеральный округ,ЦФО,Там,Тамбовская область,5,6
69,Центральный федеральный округ,ЦФО,Твeр,Тверская область,3,3
7,Северо-Кавказский федеральный округ,СКФО,Каб,Кабардино-Балкарская Республика,4,10
70,Сибирский федеральный округ,СФО,Том,Томская область,12,3
71,Центральный федеральный округ,ЦФО,Тул,Тульская область,4,5
72,Уральский федеральный округ,УФО,Тюм,Тюменская область,11,3
73,Приволжский федеральный округ,ПФО,Уль,Ульяновская область,7,5
74,Уральский федеральный округ,УФО,Чел,Челябинская область,10,5
75,Сибирский федеральный округ,СФО,Заб,Забайкальский край,14,5
76,Центральный федеральный округ,ЦФО,Яро,Ярославская область,4,3
77,Центральный федеральный округ,ЦФО,Мск,Москва,0,1
78,Северо-Западный федеральный округ,СЗФО,Спб,Санкт-Петербург,0,0
79,Дальневосточный федеральный округ,ДФО,Евр,Еврейская автономная область,15,4
8,Южный федеральный округ,ЮФО,Калм,Республика Калмыкия,6,8
83,Северо-Западный федеральный округ,СЗФО,Нен,Ненецкий автономный округ,9,1
86,Уральский федеральный округ,УФО,Хан,Ханты-Мансийский АО,10,3
87,Дальневосточный федеральный округ,ДФО,Чук,Чукотский автономный округ,16,1
89,Уральский федеральный округ,УФО,Ямал,Ямало-Ненецкий автономный округ,10,2
9,Северо-Кавказский федеральный округ,СКФО,Кара,Карачаево-Черкесская Республика,4,9
91,Южный федеральный округ,ЮФО,Крым,Республика Крым,2,8
92,Южный федеральный округ,ЮФО,Сев,Севастополь,0,8
